No,Kode_Kecamatan,Kode_Kelurahan,Luas Bumi SPPT,Luas Bangunan SPPT,NJOP_BUMI,PPB yang harus dibayar,SPPT yang dibayar,Denda SPPT,Tanggal Jatuh Tempo,Daerah
934,180,11,281.0,0.0,0.0,5620.0,9745.0,0.0,31/12/2018 ,SINDANGKERTA
935,180,11,3097.0,0.0,0.0,61940.0,2960.0,960.0,30/11/2020 ,SINDANGKERTA
936,180,11,325.0,0.0,0.0,6500.0,2960.0,960.0,31/12/2018 ,SINDANGKERTA
937,180,11,1060.0,75.0,429000.0,43375.0,2960.0,960.0,31/08/2018 ,SINDANGKERTA
938,171,5,58.0,10.0,968000.0,13774.0,67200.0,0.0,31/12/2018 ,CIHAMPELAS
939,171,5,56.0,50.0,823000.0,36918.0,149760.0,0.0,31/08/2018 ,CIHAMPELAS
940,171,5,130.0,0.0,0.0,8320.0,173015.0,0.0,31/12/2018 ,CIHAMPELAS
941,171,5,54.0,24.0,823000.0,14180.0,163072.0,0.0,31/08/2018 ,CIHAMPELAS
942,171,5,196.0,0.0,0.0,16072.0,50544.0,0.0,31/12/2018 ,CIHAMPELAS
943,171,5,50.0,0.0,0.0,5150.0,111930.0,0.0,31/12/2018 ,CIHAMPELAS
944,171,5,103.0,0.0,0.0,10609.0,3360.0,0.0,31/12/2018 ,CIHAMPELAS
945,340,8,2160.0,0.0,0.0,58320.0,116533.0,14311.0,31/08/2018 ,CIPEUNDEUY
946,340,8,200.0,0.0,0.0,2000.0,102222.0,0.0,31/08/2018 ,CIPEUNDEUY
947,340,8,800.0,35.0,700000.0,30500.0,50349.0,16329.0,31/08/2018 ,CIPEUNDEUY
948,340,8,400.0,35.0,700000.0,22500.0,50349.0,16329.0,31/08/2018 ,CIPEUNDEUY
949,340,8,400.0,0.0,0.0,10800.0,62596.0,17236.0,31/08/2018 ,CIPEUNDEUY
950,340,8,600.0,0.0,0.0,16200.0,45360.0,0.0,31/08/2018 ,CIPEUNDEUY
951,340,8,1600.0,0.0,0.0,43200.0,30606.0,9926.0,31/08/2018 ,CIPEUNDEUY
952,340,8,300.0,0.0,0.0,6000.0,42023.0,13629.0,31/08/2018 ,CIPEUNDEUY
953,340,8,200.0,35.0,429000.0,9015.0,517171.0,167731.0,31/08/2018 ,CIPEUNDEUY
954,340,8,151.0,0.0,0.0,4077.0,26545.0,2413.0,31/08/2018 ,CIPEUNDEUY
955,340,8,151.0,0.0,0.0,4077.0,62304.0,5664.0,31/08/2018 ,CIPEUNDEUY
956,340,8,151.0,0.0,0.0,4077.0,33560.0,10884.0,31/08/2018 ,CIPEUNDEUY
957,340,8,750.0,0.0,0.0,5000.0,47068.0,0.0,31/08/2018 ,CIPEUNDEUY
958,340,8,574.0,0.0,0.0,11480.0,210000.0,0.0,31/12/2018 ,CIPEUNDEUY
959,340,8,380.0,0.0,0.0,2000.0,76418.0,0.0,31/08/2018 ,CIPEUNDEUY
960,340,8,614.0,0.0,0.0,2000.0,121667.0,13035.0,31/08/2018 ,CIPEUNDEUY
961,340,8,307.0,0.0,0.0,4298.0,182368.0,19539.0,31/08/2018 ,CIPEUNDEUY
962,340,8,483.0,0.0,0.0,2000.0,5400.0,0.0,31/08/2018 ,CIPEUNDEUY
963,340,8,400.0,54.0,823000.0,42442.0,38400.0,0.0,31/08/2018 ,CIPEUNDEUY
964,340,8,1712.0,51.0,823000.0,66213.0,7132.0,0.0,31/08/2018 ,CIPEUNDEUY
965,340,8,600.0,35.0,700000.0,26500.0,3906.0,0.0,31/08/2018 ,CIPEUNDEUY
966,340,8,400.0,0.0,0.0,8000.0,2240.0,0.0,31/08/2018 ,CIPEUNDEUY
967,340,8,316.0,35.0,429000.0,11335.0,2000.0,0.0,31/08/2018 ,CIPEUNDEUY
968,171,8,174.0,91.0,968000.0,84352.0,4200.0,0.0,31/08/2018 ,CIHAMPELAS
969,300,15,854.0,25.0,429000.0,31469.0,8400.0,0.0,31/07/2020 ,CISARUA
970,760,2,906.0,0.0,0.0,144960.0,2450.0,0.0,31/08/2018 ,PARONGPONG
971,340,9,1000.0,0.0,0.0,27000.0,9212.0,0.0,31/12/2018 ,CIPEUNDEUY
972,340,9,500.0,0.0,0.0,10000.0,9870.0,0.0,31/08/2018 ,CIPEUNDEUY
973,340,9,1200.0,0.0,0.0,32400.0,2000.0,0.0,31/08/2018 ,CIPEUNDEUY
974,170,11,820.0,0.0,0.0,11480.0,3954.0,0.0,31/08/2018 ,CILILIN
975,170,11,400.0,0.0,0.0,5600.0,2520.0,0.0,31/08/2018 ,CILILIN
976,170,11,550.0,0.0,0.0,7700.0,2520.0,0.0,31/08/2018 ,CILILIN
977,170,11,458.0,0.0,0.0,6412.0,2520.0,0.0,31/08/2018 ,CILILIN
978,170,11,458.0,0.0,0.0,6412.0,2520.0,0.0,31/08/2018 ,CILILIN
979,170,11,450.0,0.0,0.0,6300.0,10200.0,0.0,31/08/2018 ,CILILIN
980,170,11,150.0,0.0,0.0,2100.0,2800.0,0.0,31/08/2018 ,CILILIN
981,170,11,300.0,0.0,0.0,4200.0,7000.0,0.0,31/08/2018 ,CILILIN
982,170,11,150.0,0.0,0.0,2100.0,2590.0,0.0,31/08/2018 ,CILILIN
983,170,11,150.0,0.0,0.0,2100.0,2240.0,0.0,31/08/2018 ,CILILIN
984,170,11,225.0,0.0,0.0,3150.0,2000.0,0.0,31/08/2018 ,CILILIN
985,170,11,315.0,0.0,0.0,4410.0,2800.0,0.0,31/08/2018 ,CILILIN
986,170,11,465.0,0.0,0.0,6510.0,16800.0,0.0,31/08/2018 ,CILILIN
987,170,11,675.0,0.0,0.0,9450.0,16800.0,0.0,31/08/2018 ,CILILIN
988,320,5,1000.0,0.0,0.0,36000.0,4200.0,0.0,30/09/2020 ,PADALARANG
989,320,5,500.0,0.0,0.0,18000.0,12040.0,0.0,30/09/2020 ,PADALARANG
990,320,5,2000.0,0.0,0.0,72000.0,10500.0,0.0,30/09/2020 ,PADALARANG
991,320,5,1000.0,0.0,0.0,36000.0,3360.0,0.0,30/09/2020 ,PADALARANG
992,320,5,500.0,0.0,0.0,18000.0,2800.0,0.0,30/09/2020 ,PADALARANG
993,320,5,500.0,0.0,0.0,18000.0,6090.0,0.0,30/09/2020 ,PADALARANG
994,320,5,500.0,0.0,0.0,18000.0,2000.0,0.0,30/09/2020 ,PADALARANG
995,320,5,500.0,0.0,0.0,18000.0,10800.0,0.0,20/12/2020 ,PADALARANG
996,190,4,274.0,0.0,0.0,2740.0,31700.0,0.0,30/11/2020 ,GUNUNGHALU
997,760,2,8375.0,0.0,0.0,686750.0,31630.0,0.0,31/08/2018 ,PARONGPONG
998,210,7,140.0,0.0,0.0,11480.0,3500.0,1135.0,31/08/2018 ,BATUJAJAR
999,210,7,140.0,0.0,0.0,11480.0,3500.0,1135.0,31/08/2018 ,BATUJAJAR
