Luas Bumi SPPT,Luas Bangunan SPPT,NJOP_BUMI,PPB yang harus dibayar,SPPT yang dibayar,Denda SPPT
"61.0,22.0,823000.0,50928.0,56448.0,6048.0"
"69.0,22.0,823000.0,45159.0,12418.0,1330.0"
"99.0,22.0,823000.0,61269.0,34880.0,0.0"
"94.0,36.0,823000.0,85616.0,16970.0,0.0"
"104.0,36.0,823000.0,92636.0,36366.0,3896.0"
"90.0,36.0,823000.0,82808.0,17326.0,1856.0"
"89.0,36.0,823000.0,82106.0,5443.0,583.0"
"94.0,36.0,823000.0,85616.0,6609.0,1749.0"
"95.0,36.0,823000.0,86318.0,95639.0,10247.0"
"106.0,36.0,823000.0,76550.0,44458.0,0.0"
"156.0,45.0,823000.0,136547.0,7776.0,0.0"
"156.0,45.0,823000.0,136547.0,100800.0,0.0"
"160.0,45.0,823000.0,139355.0,168000.0,0.0"
"204.0,45.0,823000.0,170243.0,120701.0,39146.0"
"214.0,0.0,0.0,150228.0,120701.0,39146.0"
"230.0,45.0,823000.0,188495.0,124075.0,40240.0"
"245.0,45.0,823000.0,199025.0,162953.0,52849.0"
"144.0,45.0,823000.0,128123.0,149741.0,39637.0"
"82.0,22.0,823000.0,65670.0,11600.0,1600.0"
"62.0,27.0,823000.0,45515.0,9280.0,1280.0"
"138.0,54.0,823000.0,131318.0,18240.0,2240.0"
"182.0,54.0,823000.0,162206.0,34770.0,4270.0"
"90.0,36.0,823000.0,82808.0,6270.0,770.0"
"90.0,36.0,823000.0,82808.0,9120.0,1120.0"
"89.0,36.0,823000.0,82106.0,12312.0,1512.0"
"60.0,22.0,823000.0,40326.0,6840.0,840.0"
"62.0,22.0,823000.0,51630.0,7980.0,980.0"
"189.0,54.0,700000.0,160478.0,3420.0,420.0"
"54.0,22.0,700000.0,43308.0,16815.0,2065.0"
"93.0,29.0,700000.0,75586.0,6840.0,840.0"
"85.0,29.0,823000.0,73537.0,7296.0,896.0"
"100.0,36.0,823000.0,89828.0,11970.0,1470.0"
"102.0,36.0,823000.0,91232.0,15960.0,1960.0"
"185.0,0.0,0.0,129870.0,8219.0,1009.0"
"103.0,0.0,0.0,72306.0,6720.0,0.0"
"101.0,36.0,700000.0,86102.0,64120.0,0.0"
"101.0,22.0,823000.0,79008.0,22400.0,0.0"
"170.0,36.0,823000.0,138968.0,4382.0,0.0"
"102.0,0.0,0.0,71604.0,7150.0,878.0"
"103.0,36.0,823000.0,101934.0,34290.0,4730.0"
"120.0,22.0,823000.0,92346.0,63140.0,0.0"
"60.0,22.0,823000.0,50226.0,73242.0,10102.0"
"60.0,22.0,823000.0,50226.0,11480.0,0.0"
"60.0,22.0,823000.0,50226.0,23370.0,0.0"
"79.0,22.0,700000.0,60858.0,58810.0,0.0"
"79.0,22.0,823000.0,63564.0,10755.0,0.0"
"120.0,36.0,823000.0,84068.0,42944.0,0.0"
"120.0,45.0,823000.0,91475.0,157296.0,0.0"
"119.0,45.0,823000.0,90938.0,37800.0,0.0"
"150.0,45.0,823000.0,107585.0,19088.0,0.0"
"90.0,36.0,823000.0,82808.0,16224.0,0.0"
"90.0,36.0,823000.0,67958.0,49316.0,0.0"
"90.0,36.0,823000.0,67958.0,33312.0,0.0"
"90.0,36.0,823000.0,67958.0,22599.0,0.0"
"90.0,36.0,823000.0,67958.0,32448.0,0.0"
"90.0,36.0,823000.0,67958.0,15216.0,0.0"
"97.0,36.0,823000.0,71717.0,15216.0,0.0"
"90.0,36.0,823000.0,67958.0,16800.0,0.0"
"90.0,36.0,823000.0,67958.0,103056.0,0.0"
"90.0,36.0,823000.0,67958.0,24405.0,0.0"
"97.0,36.0,823000.0,71717.0,52397.0,0.0"
"112.0,36.0,823000.0,79772.0,10389.0,3369.0"
"121.0,45.0,823000.0,92012.0,13852.0,4492.0"
"120.0,45.0,823000.0,91475.0,12916.0,3556.0"
"120.0,45.0,823000.0,91475.0,10670.0,1310.0"
"120.0,45.0,823000.0,91475.0,9360.0,0.0"
"96.0,30.0,823000.0,82082.0,9740.0,0.0"
"60.0,22.0,823000.0,50226.0,5360.0,0.0"
"62.0,30.0,823000.0,47984.0,7580.0,0.0"
"60.0,60.0,823000.0,71600.0,26370.0,0.0"
"60.0,30.0,823000.0,56810.0,10670.0,0.0"
"60.0,30.0,823000.0,56810.0,6230.0,0.0"
"60.0,22.0,823000.0,40326.0,6320.0,0.0"
"60.0,22.0,823000.0,50226.0,5800.0,0.0"
"96.0,22.0,823000.0,59658.0,15500.0,0.0"
"60.0,22.0,823000.0,40326.0,14530.0,0.0"
"60.0,22.0,823000.0,40326.0,2820.0,0.0"
"60.0,22.0,823000.0,40326.0,4200.0,0.0"
"60.0,22.0,823000.0,40326.0,9730.0,0.0"
"60.0,22.0,823000.0,50226.0,10350.0,0.0"
"93.0,45.0,823000.0,76976.0,58160.0,0.0"
"90.0,36.0,823000.0,67958.0,14430.0,0.0"
"92.0,36.0,823000.0,69032.0,89365.0,0.0"
